"","x"
"1","Snail1_EDTA_22_Nuc"
"2","Snail1_Ice_10_Nuc"
"3","Snail1_NoBact_3_Nuc"
"4","Snail1_Phago_16_Nuc"
"5","Snail2_EDTA_23_Nuc"
"6","Snail2_Ice_11_Nuc"
"7","Snail2_NoBact_4_Nuc"
"8","Snail2_Phago_17_Nuc"
"9","Snail3_EDTA_24_Nuc"
"10","Snail3_Ice_12_Nuc"
"11","Snail3_NoBact_5_Nuc"
"12","Snail3_Phago_18_Nuc"
"13","Snail4_EDTA_25_Nuc"
"14","Snail4_Ice_13_Nuc"
"15","Snail4_NoBact_6_Nuc"
"16","Snail4_Phago_19_Nuc"
"17","Snail5_EDTA_26_Nuc"
"18","Snail5_Ice_14_Nuc"
"19","Snail5_NoBact_7_Nuc"
"20","Snail5_Phago_20_Nuc"
