Color,ClusterID,Size,Barcode,Comment,:Area_Intensity_DHR,:Bright.Detail.Intensity.R3_AdaptiveErode_BF_Ch02,:Bright.Detail.Intensity.R3_AdaptiveErode_BF_Ch11,:Circularity_AdaptiveErode_BF,:Circularity_Morphology_DNA,:Contrast_AdaptiveErode_BF_Ch01,:Contrast_AdaptiveErode_BF_Ch06,:Diameter_AdaptiveErode_BF,:H.Energy.Mean_AdaptiveErode_BF_Ch01_5,:H.Energy.Mean_Intensity_DHR_Ch07_5,:H.Energy.Mean_Morphology_DNA_Ch11_5,:H.Entropy.Mean_AdaptiveErode_BF_Ch01_5,:H.Entropy.Mean_Intensity_Bac_Ch07_5,:H.Entropy.Mean_Morphology_DNA_Ch11_5,:Intensity_AdaptiveErode_BF_Ch02,:Intensity_AdaptiveErode_BF_Ch06,:Intensity_AdaptiveErode_BF_Ch07,:Intensity_AdaptiveErode_BF_Ch11,:Lobe.Count_Morphology_DNA_Ch11,:Max.Pixel_Intensity_Bac_Ch07,:Max.Pixel_Intensity_SSC_Ch06,:Std.Dev_AdaptiveErode_BF_Ch01
"java.awt.Color[r=0,g=0,b=0]",27439,39393,clustering.Cluster$1@68cb688e,,0.109457352,0.805615476,1.050220804,1.829957756,3.465628926,1.160727248,1.381729438,4.055768215,2.021340569,0.049876261,1.246996311,9.46537008,0.030609892,6.891844011,4.090918894,8.509609648,2.941537691,-0.474437931,1.07963038,0.366657436,0.338679941,2.17649253
"java.awt.Color[r=255,g=0,b=0]",27436,24616,clustering.Cluster$1@2a9a29d8,,0.022882148,1.007772915,1.910415557,1.277721477,1.955052746,1.618003428,1.286105692,4.878242115,1.966953136,0.008453151,1.075302723,9.909968534,0.31809071,7.147551965,4.312189369,8.951675265,3.366399735,-0.269956286,2.510631015,1.468436468,0.403548929,2.932790858
"java.awt.Color[r=113,g=198,b=113]",27445,18932,clustering.Cluster$1@3f3a80b8,,0.01660592,0.834223487,1.545264709,1.706544076,1.98075662,1.49791101,1.719400773,4.536786375,1.853663799,0.016956991,1.056037653,10.23599972,0.005158318,7.066458851,4.531849254,9.132716469,2.352600789,-0.333036635,2.462771545,0.177394339,0.559163671,2.377812468
"java.awt.Color[r=255,g=69,b=0]",27435,17478,clustering.Cluster$1@74d7090d,,0.013147057,0.926254829,1.361908784,1.506673853,3.239277668,1.775405732,1.346860987,4.557189313,1.735959807,0.005462585,1.07015346,9.916821416,0.951312657,7.134147806,4.253289883,8.865831337,3.397187986,-0.368842162,1.126600393,1.680758692,0.43932672,3.279646544
"java.awt.Color[r=79,g=129,b=189]",27426,15933,clustering.Cluster$1@476b8001,,0.033228353,0.937924167,1.14298451,2.02525508,3.309559853,2.048539907,2.529669595,4.352179004,2.076065097,0.012648434,1.131516142,10.27578878,0.020578884,6.95557963,4.687678766,9.586415925,1.775502089,-0.236727753,1.167716672,0.220634145,1.418450195,2.571634838
"java.awt.Color[r=192,g=80,b=88]",27427,14694,clustering.Cluster$1@3cc4a5dd,,0.004653677,0.560044893,2.913613281,2.159356422,2.43158557,2.186962034,2.167805833,3.617724265,1.711106191,0.001324293,2.115482368,10.60700233,0.007361953,6.194976038,3.614498716,8.870559685,2.447082971,0.990905326,1.790990134,0.153344774,0.963930374,2.841189749
"java.awt.Color[r=205,g=190,b=112]",27440,13017,clustering.Cluster$1@5790cdbd,,0.002673437,0.468476725,1.051445118,1.988216567,3.436788057,1.277020382,1.278080828,3.577761515,1.852601243,2.41E-05,1.101177074,10.7110207,0.002598446,6.972383358,3.463026156,8.102326029,2.086557324,-0.650337573,1.079532848,0.103370737,0.29043073,2.183656936
"java.awt.Color[r=244,g=11,b=244]",27432,9717,clustering.Cluster$1@1b432923,,0.00535684,0.84883669,2.518681246,2.131329587,2.63347239,2.893640116,1.493597924,3.678395211,1.249685091,0.002191114,1.759295926,9.521632535,1.021515767,6.535863882,3.544196519,8.647616906,3.299617285,0.884371025,1.66328172,1.539787039,0.657180398,4.5782285
"java.awt.Color[r=0,g=255,b=255]",27433,4177,clustering.Cluster$1@b3d9c2,,0.095854951,1.923232412,1.32829441,1.038335735,1.265389991,1.727174657,2.136360748,5.566674922,2.465073051,0.03708936,0.63686863,9.899816871,0.031745177,7.924532758,4.974933542,10.02445566,1.802249253,-0.521603627,3.730222877,0.62650042,0.999767301,2.603898694
"java.awt.Color[r=155,g=187,b=89]",27428,3886,clustering.Cluster$1@19c07e44,,1.24E-04,0.403411543,1.179797003,1.818200663,2.144463101,0.935805334,0.963139686,3.390665647,1.75103261,0,1.028365488,9.318825744,4.83E-04,7.19540419,3.028010246,7.734002814,2.777906324,-0.830614969,2.261949697,0.077458715,0.110123187,1.942743182
