"","Group","Desc"
"Snail1_EDTA_22_Nuc","1","EDTA"
"Snail1_Ice_10_Nuc","2","Ice"
"Snail1_NoBact_3_Nuc","3","NoBact"
"Snail1_Phago_16_Nuc","4","Phago"
"Snail2_EDTA_23_Nuc","1","EDTA"
"Snail2_Ice_11_Nuc","2","Ice"
"Snail2_NoBact_4_Nuc","3","NoBact"
"Snail2_Phago_17_Nuc","4","Phago"
"Snail3_EDTA_24_Nuc","1","EDTA"
"Snail3_Ice_12_Nuc","2","Ice"
"Snail3_NoBact_5_Nuc","3","NoBact"
"Snail4_EDTA_25_Nuc","1","EDTA"
"Snail4_Ice_13_Nuc","2","Ice"
"Snail4_NoBact_6_Nuc","3","NoBact"
"Snail4_Phago_19_Nuc","4","Phago"
"Snail5_EDTA_26_Nuc","1","EDTA"
"Snail5_Ice_14_Nuc","2","Ice"
"Snail5_NoBact_7_Nuc","3","NoBact"
"Snail5_Phago_20_Nuc","4","Phago"
