Cluster,Term,Count,:Area_Intensity_DHR,:Bright.Detail.Intensity.R3_AdaptiveErode_BF_Ch02,:Bright.Detail.Intensity.R3_AdaptiveErode_BF_Ch11,:Circularity_AdaptiveErode_BF,:Circularity_Morphology_DNA,:Contrast_AdaptiveErode_BF_Ch01,:Contrast_AdaptiveErode_BF_Ch06,:Diameter_AdaptiveErode_BF,:H.Energy.Mean_AdaptiveErode_BF_Ch01_5,:H.Energy.Mean_Intensity_DHR_Ch07_5,:H.Energy.Mean_Morphology_DNA_Ch11_5,:H.Entropy.Mean_AdaptiveErode_BF_Ch01_5,:H.Entropy.Mean_Intensity_Bac_Ch07_5,:H.Entropy.Mean_Morphology_DNA_Ch11_5,:Intensity_AdaptiveErode_BF_Ch02,:Intensity_AdaptiveErode_BF_Ch06,:Intensity_AdaptiveErode_BF_Ch07,:Intensity_AdaptiveErode_BF_Ch11,:Lobe.Count_Morphology_DNA_Ch11,:Max.Pixel_Intensity_Bac_Ch07,:Max.Pixel_Intensity_SSC_Ch06,:Std.Dev_AdaptiveErode_BF_Ch01
27439,Snail5_Ice_14_Nuc_processed,2150,0,0.527317532,0.698090131,1.575554605,3.658910256,1.116404673,1.37332029,4.115576271,1.609307215,0,0.708188919,9.635929769,0,7.165325974,3.862645894,8.598955454,2.860573417,-0.554393939,1.019241248,0,0,2.064306591
27439,Snail5_NoBact_7_Nuc_processed,2863,0,0.474503257,0.661598558,2.121887662,3.572673644,1.084536612,1.295110205,3.625124339,1.449799261,0,0.832347399,9.436021014,0,7.023603723,3.722330745,8.253226682,2.638760331,-0.488835462,1.019241248,0,0,2.181260297
27439,Snail3_Ice_12_Nuc_processed,1425,0,0.560739066,0.97987688,1.480726821,3.624946729,1.10558876,1.447916008,4.308713684,1.642989372,0,0.701367468,9.639535451,0,7.231567407,4.157055292,8.922082737,2.994324206,-0.516332864,1.019241248,0,0.40457654,2.091412821
27439,Snail4_Ice_13_Nuc_processed,2742,0,0.510813071,1.037407178,1.456071569,3.531198865,1.015957436,1.378001806,4.049150451,1.648900452,0,0.902140961,9.498536338,0,6.979494439,4.055460805,8.800360925,2.979232581,-0.444081704,1.019241248,0,0.364943422,2.062590269
27439,Snail1_Ice_10_Nuc_processed,2386,0,0.640373192,1.011062488,1.202097498,3.527298621,1.061114455,1.50712874,4.562657987,1.904824904,0,0.828744939,9.628920359,0,7.095927351,4.850586377,9.111510158,3.325962448,-0.393389318,1.019241248,0,0.413937966,2.003265689
27439,Snail3_EDTA_24_Nuc_processed,975,0,0.583020089,1.190355849,1.422789114,3.348514683,0.7344057,0.862472487,4.220671875,1.721236638,0,0.834160901,9.694252186,0,7.093288687,3.780544062,8.368154651,3.00109534,-1.48345511,1.019241248,0,0,1.927070961
27439,Snail4_NoBact_6_Nuc_processed,3487,0,0.428703377,0.944502264,1.985895781,3.385947732,0.966738175,1.111996426,3.460258907,1.51410277,0,1.121823961,9.274154461,0,6.790283682,3.454534318,8.053401473,2.721086974,-0.368052277,1.019241248,0,0,2.170281665
27439,Snail2_Ice_11_Nuc_processed,2456,0,0.599937161,1.04364419,1.397200982,3.515835699,1.062734016,1.455028193,4.399736205,1.785997712,0,0.858878997,9.566732048,0,7.060480711,4.6481483,9.002807967,3.054076029,-0.39294761,1.019241248,0,0.393716327,2.054347977
27439,Snail5_Phago_20_Nuc_processed,2476,0,0.546710325,0.78289612,1.587642741,3.501649838,1.132649142,1.284359984,3.837558459,1.613201289,0,0.850459412,9.496395609,0,6.997787732,4.121410242,8.389776176,2.809251149,-0.446260633,1.019241248,0,0,2.121283213
27439,Snail4_Phago_19_Nuc_processed,3022,0,0.490182495,0.77014264,1.45554156,3.279853316,1.057207802,1.169438373,3.578795156,1.67589961,0,1.241132521,9.28757751,0,6.670435671,4.155670691,8.108911261,2.782426784,-0.370733099,1.019241248,0,0,2.14728596
27439,Snail5_EDTA_26_Nuc_processed,832,0,0.650275768,1.223123642,1.542691618,3.405755678,0.996882089,0.915146731,4.385489674,1.732760817,0,0.768870641,9.747636014,0,7.177784828,4.040778668,8.496691796,3.144238393,-1.2656668,1.019241248,0,0,2.055910337
27439,Snail2_EDTA_23_Nuc_processed,686,0,0.714230554,1.195848133,1.254684574,3.256778938,1.055135924,1.042536071,4.626220626,1.876228552,0,0.930914071,9.803225041,0,7.132042118,4.241040761,8.629583619,2.938628954,-1.436424165,1.019241248,0,0,2.186229735
27439,Snail1_EDTA_22_Nuc_processed,694,0,0.76168088,1.376910406,1.256719053,3.303388434,0.979606656,0.967302912,4.777066822,1.836483243,0,0.836667288,9.83200836,0,7.123419414,4.403792493,8.699007746,3.361641663,-0.954900397,1.019241248,0,0,2.159753074
27439,Snail1_Phago_16_Nuc_processed,2673,0,0.678333351,0.954183738,1.086773838,3.377330701,1.020180056,1.233070666,4.180946909,1.946837142,0,1.045424735,9.360364601,0,6.824810377,4.691380314,8.602322288,3.195032771,-0.391880565,1.019241248,0,0,2.053919366
27439,Snail3_NoBact_5_Nuc_processed,1812,0,0.503798675,1.058818312,2.136587497,3.450709899,1.037741311,1.326737854,3.918244789,1.48750291,0,0.868648901,9.483058779,0,7.005835725,3.708875103,8.675199212,2.800924369,-0.306512719,1.019241248,0,0.365234132,2.195629088
27439,Snail4_EDTA_25_Nuc_processed,713,0,0.735686404,1.121375347,1.3766413,3.121254791,1.009061222,0.976456607,4.657676278,1.690641676,0,1.027304052,9.828704057,0,6.960078123,4.606316228,8.521574136,3.02882923,-1.175664567,1.019241248,0,0,2.213670206
27439,Snail2_Phago_17_Nuc_processed,2543,0,0.615203788,1.228430107,1.408740988,3.234887869,1.055994717,1.274759232,3.97112486,1.76466886,0,1.278161521,9.44922735,0,6.665068311,4.589013621,8.552233104,2.96536312,-0.385063148,1.019241248,0,0,2.133611405
27439,Snail2_NoBact_4_Nuc_processed,2592,0,0.549598555,1.170992901,1.925438795,3.272905655,0.996730555,1.252886886,3.766232352,1.547316382,0,1.240179445,9.457393343,0,6.645617472,4.580387674,8.463686789,2.733017718,-0.493039856,1.019241248,0,0,2.178127493
27439,Snail1_NoBact_3_Nuc_processed,2866,0,0.460061853,0.966192489,2.056745583,3.394901769,0.983598215,1.156865975,3.478296953,1.513795543,0,1.078004136,9.347584702,0,6.763552486,3.989687799,8.099315067,2.714013623,-0.348164448,1.019241248,0,0,2.083138759
27436,Snail5_Ice_14_Nuc_processed,822,0,0.781898845,1.107411682,1.0550919,1.79824926,1.362896987,1.532195458,4.768325574,1.826522742,0,0.713681099,9.724621632,0,7.447320498,4.283304535,9.229010533,3.360147467,-0.183262082,2.038482496,1.465849209,0.452025344,2.513079454
27436,Snail5_NoBact_7_Nuc_processed,242,0,1.077328799,1.145113576,1.14733965,1.659972022,1.657904178,1.671469684,4.952863085,2.045275461,0,0.692658254,9.629953439,0,7.76617441,5.004744976,9.531738381,2.8684086,0.131326152,2.038482496,1.17297242,0.519438574,2.938577074
27436,Snail3_Ice_12_Nuc_processed,722,0,0.783961903,1.528648893,0.97579802,1.685767381,1.401465873,1.516091391,4.626220626,1.870730639,0,0.700366073,9.75780059,0,7.491414889,4.093304425,9.24986843,3.475642516,-0.346012931,2.038482496,1.557754257,0.474511968,2.568794871
27436,Snail4_Ice_13_Nuc_processed,652,0,0.816558213,1.489922815,0.98967876,1.742855275,1.42643912,1.648630427,4.626220626,1.978493625,0,0.732768914,9.654672792,0,7.452308778,4.286447481,9.327296311,3.463424828,-0.07746631,2.038482496,1.525368039,0.514386634,2.499109571
27436,Snail1_Ice_10_Nuc_processed,704,0,0.771170945,1.540564553,0.940506074,1.971092381,1.434851783,1.557358076,4.706682251,1.916452712,0,0.86044902,9.890031727,0,7.301982776,4.491102879,9.240414789,3.712529618,0.051048221,2.038482496,1.666296161,0.518894287,2.608550562
27436,Snail3_EDTA_24_Nuc_processed,2591,0,0.948593902,1.906040016,1.119748131,1.993075468,1.190441003,0.934451018,5.077639829,1.655546372,0,0.787330739,10.05145087,0,7.266597736,4.164602623,8.873971389,3.483140085,-0.396849381,2.038482496,1.226301071,0,2.734931819
27436,Snail4_NoBact_6_Nuc_processed,227,0,1.0129613,1.316028829,1.11144168,1.683286037,1.657953854,1.809883836,4.755183414,2.167102688,0,0.686746664,9.348667494,0,7.592841668,4.625178589,9.554672971,2.663236135,0.207181673,2.038482496,1.138823326,0.697493793,2.944891747
27436,Snail2_Ice_11_Nuc_processed,526,0,0.888352619,1.443098176,1.131069056,1.900088675,1.453062735,1.685319699,4.77269801,1.860610265,0,0.772990055,9.909631508,0,7.37643128,4.653745513,9.360272664,3.472175465,-0.084219881,2.038482496,1.448753571,0.519396798,2.660263171
27436,Snail5_Phago_20_Nuc_processed,869,0,0.854931085,1.181605286,1.111156313,1.840341667,1.328278312,1.409631718,4.599087188,1.900169505,0,0.826576289,9.655435563,0,7.274327573,4.843756703,9.065370199,3.468702306,-0.149910076,2.038482496,1.427072322,0.407521136,2.458549671
27436,Snail4_Phago_19_Nuc_processed,669,0,0.809131206,0.928118231,1.114344088,1.869266018,1.374228603,1.477339392,4.347271114,1.886454289,0,0.849514377,9.523651057,0,7.199910208,4.688445336,8.949758833,3.411797108,-0.154745798,2.038482496,1.488834161,0.419812786,2.642304391
27436,Snail5_EDTA_26_Nuc_processed,3519,0,0.960972248,2.304190817,1.238758671,1.952262694,1.664709957,1.018591476,4.824860214,1.576972714,0,0.949105588,10.07766936,0,7.082079441,4.207630931,8.865379514,3.538237371,-0.233150934,2.038482496,1.234349033,0,3.031812641
27436,Snail2_EDTA_23_Nuc_processed,3487,0,0.947768679,1.89589345,1.14969202,2.005796226,1.615479862,0.986245762,4.867901657,1.689226699,0,0.954303524,9.986541598,0,7.077347717,4.073310604,8.781111228,3.380604432,-0.501633036,2.038482496,1.237628208,0,3.077230126
27436,Snail1_EDTA_22_Nuc_processed,3819,0,0.938278614,2.093246392,1.135192381,2.008171848,1.477465811,0.945692709,4.952863085,1.623665295,0,0.883386898,10.00621362,0,7.174682468,4.256830493,8.797363726,3.690340206,-0.224728044,2.038482496,1.280339507,0,2.990375969
27436,Snail1_Phago_16_Nuc_processed,786,0,0.898667907,1.299179341,0.961781177,1.93429706,1.300645549,1.37392105,4.567227687,2.022287971,0,0.885248299,9.564643362,0,7.224810315,4.772315741,8.980937153,3.716393396,-0.163689514,2.038482496,1.675471681,0.410871391,2.444402141
27436,Snail3_NoBact_5_Nuc_processed,256,0,1.206888718,1.688486124,1.128992324,1.512805225,1.80039999,1.926929937,5.098138762,2.061347751,0,0.641093129,9.66331105,0,7.827704426,4.739673429,9.954412932,2.695103678,0.023320715,2.038482496,1.185968698,0.731078473,2.936762247
27436,Snail4_EDTA_25_Nuc_processed,3763,0,0.937866002,1.600887584,1.20856356,1.962873441,1.544281411,0.920955556,4.885012405,1.632124527,0,0.9316408,9.991309302,0,7.113420515,4.187710836,8.671287236,3.383450878,-0.443030415,2.038482496,1.197057461,0,3.037034357
27436,Snail2_Phago_17_Nuc_processed,694,0,0.876799496,1.392735983,1.105936634,1.933374534,1.40702857,1.526367114,4.621709431,1.975946822,0,0.870122708,9.599724586,0,7.282152857,4.802506343,9.196214699,3.528683217,-0.168632236,2.038482496,1.533561811,0.46349773,2.584076903
27436,Snail2_NoBact_4_Nuc_processed,130,0,0.856994143,1.512916498,1.273869497,1.952749539,1.849074508,1.656453039,4.512087878,1.981588429,0,0.890613775,9.439829429,0,7.159509812,4.995294831,9.351960165,2.801414888,-0.075916511,2.038482496,1.157985047,0.620923106,2.883263573
27436,Snail1_NoBact_3_Nuc_processed,138,0,0.947768679,1.40269664,1.111955952,2.024271025,1.421112421,1.682180584,4.648710842,2.099990319,0,0.825214711,9.392083266,0,7.754007312,4.972496863,9.529165976,2.774023103,0.213177675,2.038482496,0,0.548500337,2.835312962
27445,Snail5_Ice_14_Nuc_processed,1148,0,0.623455968,1.081997722,1.487485308,1.921178211,1.283078766,1.751756357,4.525935737,1.675898262,0,0.823508894,10.09930423,0,7.236716119,4.555109443,9.231799991,2.547875485,-0.296182727,2.038482496,0,0.46981994,2.182780736
27445,Snail5_NoBact_7_Nuc_processed,1217,0,0.716293612,0.990023719,1.529489196,1.9226719,1.270635996,1.789662237,4.342470236,1.609896532,0,0.913324188,9.95864067,0,7.08403847,4.773075588,9.217065434,2.381074338,-0.246180579,2.038482496,0,0.509128495,2.236323023
27445,Snail3_Ice_12_Nuc_processed,918,0,0.674619848,1.299644796,1.354728794,1.94396022,1.400927101,1.830914683,4.54433414,1.761948508,0,0.699711786,10.14699757,0,7.333774683,4.464919906,9.426117918,2.26455513,-0.427069398,2.038482496,0,0.558811755,2.346662592
27445,Snail4_Ice_13_Nuc_processed,781,0,0.657702674,1.275627293,1.283958156,2.024188143,1.287712209,1.831152121,4.375966617,1.740796095,0,0.770323819,10.08021089,0,7.260508095,4.559414532,9.333157469,2.619648609,-0.251888454,2.038482496,0,0.537827311,2.248838262
27445,Snail1_Ice_10_Nuc_processed,832,0,0.660590955,1.378865319,1.402723864,2.037705343,1.232794784,1.852479247,4.460944614,1.729279236,0,0.886139631,10.08236404,0,7.169534433,4.789412938,9.283034616,2.926818234,-0.18903108,2.038482496,0,0.537302215,2.204603966
27445,Snail3_EDTA_24_Nuc_processed,1282,0,0.738987246,1.676198463,1.374704104,2.021591679,1.004882971,1.066086415,4.77269801,1.613782805,0,0.749905125,10.54244818,0,7.288432038,4.183948251,8.843071728,2.202538655,-0.610007228,2.038482496,0,0.379043694,2.314703852
27445,Snail4_NoBact_6_Nuc_processed,879,0,0.713405331,1.285029494,1.321420111,1.887147597,1.240716656,1.811175692,4.269808064,1.709095309,0,0.900041537,9.985421522,0,7.084566474,4.474546055,9.266652459,2.435452736,-0.081234854,2.038482496,0,0.529584362,2.252348356
27445,Snail2_Ice_11_Nuc_processed,795,0,0.681221531,1.374676402,1.457921304,2.069851619,1.375048775,1.910072067,4.460944614,1.733553828,0,0.853435554,10.13361258,0,7.081189958,4.795702239,9.418305429,2.553908865,-0.282224067,2.038482496,0,0.565490665,2.373723894
27445,Snail5_Phago_20_Nuc_processed,916,0,0.729084569,1.10554986,1.461543615,1.94215576,1.290342686,1.640595838,4.289305142,1.697712705,0,0.960909538,10.03783519,0,7.055323199,4.830508176,9.070507128,2.440961818,-0.293612933,2.038482496,0,0.468202611,2.174669471
27445,Snail4_Phago_19_Nuc_processed,739,0,0.715881001,0.916109479,1.359516704,1.968691568,1.351884949,1.70638223,4.145875519,1.7438491,0,1.000262981,10.02504597,0,6.930833495,4.824874313,8.979212904,2.447838962,-0.151259976,2.038482496,0,0.457313432,2.23116917
27445,Snail5_EDTA_26_Nuc_processed,1263,0,0.750127707,2.090826024,1.435509406,2.011481743,1.31430192,1.102471865,4.684470586,1.588330085,0,0.88182184,10.47216611,0,7.117213341,4.338394936,8.792147998,2.590182092,-0.372841446,2.038482496,0,0,2.394839916
27445,Snail2_EDTA_23_Nuc_processed,1296,0,0.748477311,1.735776582,1.297269497,2.049183928,1.37912959,1.145540736,4.746402299,1.587101467,0,0.879226088,10.65428104,0,7.126336972,4.137596731,8.82776266,2.224802633,-0.612196613,2.038482496,0,0.377740752,2.555971521
27445,Snail1_EDTA_22_Nuc_processed,1177,0,0.715881001,1.999969114,1.311549484,1.970832252,1.268471472,1.052944186,4.706682251,1.616013521,0,0.857953471,10.49041357,0,7.135061215,4.366866826,8.748255222,2.726122966,-0.381722401,2.038482496,0,0,2.349741256
27445,Snail1_Phago_16_Nuc_processed,634,0,0.769933111,1.309791726,1.226618937,1.95767999,1.260723172,1.669821766,4.245311031,1.826815714,0,1.063676458,10.00274697,0,6.911172131,4.776005453,9.058513318,2.70110831,-0.253105508,2.038482496,0,0.477174221,2.20577099
