"","logFC","logCPM","LR","PValue","FDR"
"27436",-2.21453282371164,17.0446566654352,66.6072779755581,3.31360448181452e-16,6.62720896362905e-15
"27442",3.13468939855458,13.9852731902312,55.5882382619663,8.93566692056659e-14,8.93566692056659e-13
"27439",1.74205775634329,17.7209967836824,51.2441128600452,8.15649786129354e-13,5.43766524086236e-12
"27437",1.92022294230741,13.4837604524564,27.0161221002854,2.01765564169984e-07,1.00882782084992e-06
"27426",1.21971862164727,16.4238918779159,23.8639270990654,1.03391137351367e-06,4.13564549405468e-06
"27427",1.52130394802238,16.3142441784666,23.4274461376672,1.29714586697632e-06,4.32381955658772e-06
"27434",1.91956759349188,14.2478904159476,21.7377034683371,3.12587003532787e-06,8.93105724379392e-06
"27431",2.00061605210406,13.6681106382008,21.4521137628162,3.62775889206813e-06,9.06939723017032e-06
"27430",3.50692050385865,11.9602526797276,19.1953422521302,1.18000958977753e-05,2.62224353283895e-05
"27432",1.17844759907837,15.7191763191436,15.6595129899019,7.58301819523283e-05,0.000151660363904657
"27435",-0.957714481012373,16.5515893623748,15.1514564036947,9.92217465684056e-05,0.000180403175578919
"27445",-0.828852864941885,16.672063439717,12.5681199443139,0.000392383120620638,0.000653971867701064
"27438",1.15585724149986,13.7827558475823,11.6904217374496,0.000628226578396769,0.000966502428302721
"27441",1.64585899654407,13.2396148646151,10.8060340584125,0.00101169799784538,0.00144528285406483
"27433",0.912203034513815,14.5133645078994,5.60883366883568,0.017870153596112,0.0238268714614827
